	0
700	ENSG00000243762
701	ENSG00000272638
702	ENSG00000165434
703	ENSG00000101049
704	ENSG00000262655
705	ENSG00000237372
706	ENSG00000267576
707	ENSG00000124074
708	ENSG00000170909
709	ENSG00000257605
710	ENSG00000207001
711	ENSG00000244731
712	ENSG00000214135
713	ENSG00000199477
714	ENSG00000271761
715	ENSG00000090382
716	ENSG00000280137
717	ENSG00000005238
718	ENSG00000090013
719	ENSG00000278709
720	ENSG00000135547
721	ENSG00000243015
722	ENSG00000161249
723	ENSG00000047056
724	ENSG00000213862
725	ENSG00000279520
726	ENSG00000276045
727	ENSG00000266028
728	ENSG00000171224
729	ENSG00000154188
730	ENSG00000238160
731	ENSG00000196569
732	ENSG00000275210
733	ENSG00000270133
734	ENSG00000030582
735	ENSG00000197933
736	ENSG00000103742
737	ENSG00000215914
738	ENSG00000156265
739	ENSG00000094880
740	ENSG00000240240
741	ENSG00000112697
742	ENSG00000163235
743	ENSG00000198225
744	ENSG00000117625
745	ENSG00000173258
746	ENSG00000261377
747	ENSG00000172071
748	ENSG00000177352
749	ENSG00000132589
750	ENSG00000169991
751	ENSG00000184292
752	ENSG00000046604
753	ENSG00000257698
754	ENSG00000180398
755	ENSG00000150768
756	ENSG00000236257
757	ENSG00000257509
758	ENSG00000239732
759	ENSG00000267809
760	ENSG00000181220
761	ENSG00000256720
762	ENSG00000016391
763	ENSG00000239941
764	ENSG00000008952
765	ENSG00000170476
766	ENSG00000227382
767	ENSG00000277586
768	ENSG00000111328
769	ENSG00000245614
770	ENSG00000197037
771	ENSG00000103035
772	ENSG00000044574
773	ENSG00000172497
774	ENSG00000254450
775	ENSG00000091136
776	ENSG00000281383
777	ENSG00000183150
778	ENSG00000177425
779	ENSG00000234127
780	ENSG00000182379
781	ENSG00000117152
782	ENSG00000135838
783	ENSG00000105538
784	ENSG00000164266
785	ENSG00000243319
786	ENSG00000248905
787	ENSG00000120694
788	ENSG00000228201
789	ENSG00000283415
790	ENSG00000233870
791	ENSG00000099377
792	ENSG00000008056
793	ENSG00000134827
794	ENSG00000259495
795	ENSG00000228037
796	ENSG00000248540
797	ENSG00000088305
798	ENSG00000164050
799	ENSG00000242097
800	ENSG00000233435
801	ENSG00000259704
802	ENSG00000120733
803	ENSG00000185818
804	ENSG00000111669
805	ENSG00000075618
806	ENSG00000240972
807	ENSG00000132359
808	ENSG00000271828
809	ENSG00000198917
810	ENSG00000109445
811	ENSG00000274578
812	ENSG00000234311
813	ENSG00000005302
814	ENSG00000254815
815	ENSG00000261845
816	ENSG00000172530
817	ENSG00000177613
818	ENSG00000065675
819	ENSG00000229569
820	ENSG00000228933
821	ENSG00000269091
822	ENSG00000278144
823	ENSG00000283154
824	ENSG00000272702
825	ENSG00000181016
826	ENSG00000237248
827	ENSG00000174939
828	ENSG00000268129
829	ENSG00000008517
830	ENSG00000253846
831	ENSG00000171469
832	ENSG00000197576
833	ENSG00000275026
834	ENSG00000133874
835	ENSG00000109332
836	ENSG00000169836
837	ENSG00000183780
838	ENSG00000172247
839	ENSG00000260368
840	ENSG00000197894
841	ENSG00000178401
842	ENSG00000186732
843	ENSG00000198382
844	ENSG00000105402
845	ENSG00000216977
846	ENSG00000100721
